date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365
2025-01-06,2025,56,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293843,Hard,Alexander Ritschard,Bernabe Zapata Miralles,0.58688486,152,0.6086956521739131,-0.02181079217391313,2,2,1.53,2.38,1,bet365_via_sofascore,latest_pre_match_assumed,0.46618903,-0.14250662217391308,0.60061396074668,-0.008081691427233029
2025-01-06,2025,57,2025-2831,Oeiras 1 CH,2025-01-06,QF,13293848,Hard,Alexander Ritschard,Liam Draxl,0.5752143,125,0.4109947643979057,0.16421953560209424,3,3,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.23590882,-0.17508594439790573,0.3926246807054968,-0.018370083692408945
2025-01-06,2025,58,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304342,Hard,Frederico Ferreira Silva,Trey Hilderbrand,0.5806872,416,0.6461916461916463,-0.0655044461916463,1,1,1.44,2.63,1,bet365_via_sofascore,latest_pre_match_assumed,0.71897906,0.07278741380835374,0.5116097113177024,-0.13458193487394388
2025-01-06,2025,59,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304344,Hard,Pedro Araujo,Ivan Gakhov,0.35887346,-101,0.391304347826087,-0.032430887826086996,1,1,2.38,1.53,0,bet365_via_sofascore,latest_pre_match_assumed,0.82569444,0.43439009217391306,0.5598292567390347,0.16852490891294775
2025-01-06,2025,60,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299875,Hard,Sebastian Fanselow,Hazem Naw,0.26817974,-121,0.4424778761061946,-0.1742981361061946,1,1,2.1,1.6666666666666663,1,bet365_via_sofascore,latest_pre_match_assumed,0.7280469,0.28556902389380545,0.6425263418332874,0.20004846572709278
2025-01-06,2025,61,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299857,Hard,Kaichi Uchida,Daniel Batista,0.7382663,1383,0.813953488372093,-0.07568718837209298,1,1,1.1428571428571428,5.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.68526715,-0.12868633837209298,0.8383496789407499,0.024396190568656828
2025-01-06,2025,62,2025-2831,Oeiras 1 CH,2025-01-06,Q2,13302104,Hard,Kaichi Uchida,Trey Hilderbrand,0.55311185,357,0.5575221238938053,-0.004410273893805328,0,0,1.6666666666666663,2.1,0,bet365_via_sofascore,latest_pre_match_assumed,0.43023255,-0.1272895738938053,0.4800541080067391,-0.0774680158870662
2025-01-06,2025,63,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299867,Hard,Christoph Negritu,Tiago Pereira,0.76176196,168,0.7234042553191489,0.03835770468085109,1,1,1.3,3.4,0,bet365_via_sofascore,latest_pre_match_assumed,0.47607645,-0.24732780531914889,0.8140734128152969,0.09066915749614801
2025-01-06,2025,64,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299866,Hard,Ivan Gakhov,Diogo Marques,0.84720457,547,0.7659574468085106,0.08124712319148941,1,1,1.2222222222222223,4.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.5785014,-0.18745604680851058,0.7642643612322096,-0.00169308557630099
2025-01-06,2025,65,2025-2831,Oeiras 1 CH,2025-01-06,Q2,13302105,Hard,Ivan Gakhov,Cleeve Harper,0.74814785,818,0.5887850467289719,0.15936280327102803,0,0,1.5714285714285714,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.5270989,-0.06168614672897188,0.6690240846706841,0.08023903794171217
