date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365,calibrated_prob_a,calibrated_clv
2025-01-06,2025,46,2025-2831,Oeiras 1 CH,2025-01-06,Q2,13302209,Hard,Ricardas Berankis,Tiago Pereira,0.71720535,204,0.6450511945392492,0.0721541554607507,0,0,1.4444444444444444,2.625,1,bet365_via_sofascore,latest_pre_match_assumed,0.406218,-0.2388331945392491,0.7536885282406588,0.1086373337014096,0.7006802721088435,0.05562907756959434
2025-01-06,2025,47,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299874,Hard,Gastao Elias,Daniel Rincon,0.5258091,-42,0.5,0.0258091,1,1,1.83,1.83,0,bet365_via_sofascore,latest_pre_match_assumed,0.7195831,0.2195831,0.4133185700834239,-0.086681429916576,0.5005945303210465,0.0005945303210465047
2025-01-06,2025,48,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299872,Hard,Lorenzo Giustino,Ergi Kirkin,0.5857506,21,0.6086956521739131,-0.022945052173913,0,0,1.53,2.38,0,bet365_via_sofascore,latest_pre_match_assumed,0.39721963,-0.2114760221739131,0.690306049509528,0.0816103973356149,0.5807228915662652,-0.027972760607647862
2025-01-06,2025,49,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299869,Hard,Alexey Vatutin,Justin Engel,0.5906111,79,0.5887850467289719,0.0018260532710281,1,1,1.5714285714285714,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.30212894,-0.2866561067289719,0.6843169685818964,0.0955319218529244,0.5889724310776943,0.00018738434872234144
2025-01-06,2025,50,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304341,Hard,Egor Gerasimov,Hamad Medjedovic,0.23719071,-256,0.1716867469879518,0.0655039630120482,1,1,5.5,1.14,0,bet365_via_sofascore,latest_pre_match_assumed,0.48561615,0.3139294030120482,0.1420958513131293,-0.0295908956748224,0.18867924528301888,0.016992498295067077
2025-01-06,2025,51,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299868,Hard,Egor Gerasimov,James Tracy,0.7433536,889,0.5887850467289719,0.154568553271028,1,1,1.5714285714285714,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.40100986,-0.1877751867289719,0.6189778900959958,0.0301928433670238,0.7432835820895523,0.15449853536058034
2025-01-06,2025,52,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299870,Hard,Denis Yevseyev,Antoine Cornut Chauvinc,0.67815596,359,0.5759162303664922,0.1022397296335078,0,0,1.62,2.2,0,bet365_via_sofascore,latest_pre_match_assumed,0.32374272,-0.2521735103664922,0.8147753355006767,0.2388591051341845,0.6680161943319838,0.09209996396549158
2025-01-06,2025,53,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293845,Hard,Karue Sell,Rudolf Molleker,0.6643539,23,0.6461916461916463,0.0181622538083537,2,2,1.44,2.63,0,bet365_via_sofascore,latest_pre_match_assumed,0.36061293,-0.2855787161916462,0.5928973315577583,-0.053294314633888,0.640371229698376,-0.005820416493270253
2025-01-06,2025,54,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299881,Hard,Karue Sell,Robin Bertrand,0.6452904,4,0.6626506024096386,-0.0173602024096385,0,0,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.44868502,-0.2139655824096386,0.6448454683821584,-0.0178051340274801,0.6130790190735697,-0.049571583336068925
2025-01-06,2025,55,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304346,Hard,Alexander Ritschard,Sebastian Fanselow,0.78527445,329,0.6880733944954129,0.097201055504587,1,1,1.36,3.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.31982604,-0.3682473544954129,0.6402874829187483,-0.0477859115766646,0.7853982300884956,0.09732483559308269
2025-01-06,2025,56,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293843,Hard,Alexander Ritschard,Bernabe Zapata Miralles,0.58688486,152,0.6086956521739131,-0.0218107921739131,2,2,1.53,2.38,1,bet365_via_sofascore,latest_pre_match_assumed,0.46618903,-0.142506622173913,0.60061396074668,-0.008081691427233,0.5807228915662652,-0.027972760607647862
2025-01-06,2025,57,2025-2831,Oeiras 1 CH,2025-01-06,QF,13293848,Hard,Alexander Ritschard,Liam Draxl,0.5752143,125,0.4109947643979057,0.1642195356020942,3,3,2.25,1.5699999999999998,0,bet365_via_sofascore,latest_pre_match_assumed,0.23590882,-0.1750859443979057,0.3926246807054968,-0.0183700836924089,0.5807228915662652,0.1697281271683595
2025-01-06,2025,58,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304342,Hard,Frederico Ferreira Silva,Trey Hilderbrand,0.5806872,416,0.6461916461916463,-0.0655044461916463,1,1,1.44,2.63,1,bet365_via_sofascore,latest_pre_match_assumed,0.71897906,0.0727874138083537,0.5116097113177024,-0.1345819348739438,0.5807228915662652,-0.06546875462538104
2025-01-06,2025,59,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304344,Hard,Pedro Araujo,Ivan Gakhov,0.35887346,-101,0.391304347826087,-0.0324308878260869,1,1,2.38,1.53,0,bet365_via_sofascore,latest_pre_match_assumed,0.82569444,0.434390092173913,0.5598292567390347,0.1685249089129477,0.3168498168498168,-0.0744545309762702
2025-01-06,2025,60,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299875,Hard,Sebastian Fanselow,Hazem Naw,0.26817974,-121,0.4424778761061946,-0.1742981361061946,1,1,2.1,1.6666666666666663,1,bet365_via_sofascore,latest_pre_match_assumed,0.7280469,0.2855690238938054,0.6425263418332874,0.2000484657270927,0.21739130434782608,-0.22508657175836852
