date,player_a,player_b,surface,predicted_prob_a,betfair_true_prob_a,clv_betfair,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2026-03-04,Marcos Giron,Jakub Mensik,Hard,0.29185832,0.2871900826446281,0.004668237355371918,,,0.28870292887029286,0.0031553911297071413,0
2026-03-04,Marcos Giron,Mariano Navone,Hard,0.67007375,0.7200811359026369,-0.05000738590263687,,,0.7112970711297071,-0.04122332112970706,1
2026-03-04,Marin Cilic,Zachary Svajda,Hard,0.69700336,0.5643564356435643,0.13264692435643566,,,0.5679012345679013,0.12910212543209865,0
2026-03-04,Martin Damm,Camilo Ugo Carabelli,Hard,0.5956745,0.6451612903225806,-0.04948679032258063,,,0.6280193236714976,-0.0323448236714976,0
2026-03-04,Marton Fucsovics,Lorenzo Musetti,Hard,0.26226893,0.25818882466281307,0.004080105337186946,,,0.27536231884057966,-0.013093388840579645,1
2026-03-04,Mattia Bellucci,Gabriel Diallo,Hard,0.42191964,0.47236180904522607,-0.05044216904522608,,,0.4629156010230179,-0.04099596102301789,0
2026-03-04,Miomir Kecmanovic,Flavio Cobolli,Hard,0.45493704,0.5399999999999999,-0.08506295999999991,,,0.5324675324675325,-0.07753049246753252,0
2026-03-04,Novak Djokovic,Kamil Majchrzak,Hard,0.8767585,0.881427072402938,-0.004668572402938054,,,0.8700696055684455,0.006688894431554515,1
2026-03-04,Nuno Borges,Emilio Nava,Hard,0.62334484,0.5922330097087379,0.031111830291262077,,,0.6029776674937966,0.020367172506203457,1
2026-03-04,Nuno Borges,Valentin Vacherot,Hard,0.43451232,0.42716049382716054,0.007351826172839471,,,0.420654911838791,0.013857408161209006,0
2026-03-04,Quentin Halys,Adam Walton,Hard,0.47661993,0.6325581395348837,-0.1559382095348837,,,0.633734939759036,-0.15711500975903603,0
2026-03-04,Raphael Collignon,Joao Fonseca,Hard,0.37213436,0.4222222222222223,-0.05008786222222228,,,0.4375,-0.06536564,0
2026-03-04,Reilly Opelka,Ben Shelton,Hard,0.25392005,0.22671353251318105,0.02720651748681896,,,0.23285198555956682,0.021068064440433187,0
2026-03-04,Reilly Opelka,Ethan Quinn,Hard,0.69832516,0.4563591022443891,0.24196605775561092,,,0.4416243654822335,0.2567007945177665,1
2026-03-04,Rinky Hijikata,Francesco Maestrelli,Hard,0.5111204,0.5749385749385749,-0.06381817493857489,,,0.5597964376590331,-0.048676037659033056,1
2026-03-04,Rinky Hijikata,Luciano Darderi,Hard,0.40249327,0.31868131868131866,0.08381195131868135,,,0.32885906040268453,0.07363420959731548,1
2026-03-04,Roberto Bautista Agut,Fabian Marozsan,Hard,0.39091113,0.2481203007518797,0.14279082924812028,,,0.21357615894039736,0.17733497105960264,1
2026-03-04,Roberto Bautista Agut,Jack Draper,Hard,0.22115113,0.1457286432160804,0.0754224867839196,,,0.15311653116531165,0.06803459883468835,0
2026-03-04,Sebastian Korda,Francisco Comesana,Hard,0.68473274,0.8344923504867873,-0.14975961048678732,,,0.8233532934131738,-0.1386205534131738,1
2026-03-04,Sho Shimabukuro,Alexander Shevchenko,Hard,0.4770854,0.5770171149144254,-0.09993171491442543,,,0.5793450881612091,-0.10225968816120912,0
2026-03-04,Stefanos Tsitsipas,Denis Shapovalov,Hard,0.52400744,0.5784313725490196,-0.05442393254901956,,,0.5440414507772021,-0.020034010777202127,0
2026-03-04,Tommy Paul,Zizou Bergs,Hard,0.73112464,0.78125,-0.05012536000000001,,,0.7839721254355401,-0.052847485435540076,1
2026-03-04,Tristan Schoolkate,Dino Prizmic,Hard,0.5294638,0.2543021032504781,0.27516169674952196,,,0.2618110236220473,0.26765277637795276,0
2026-03-04,Vit Kopriva,Michael Zheng,Hard,0.4762595,0.45864661654135336,0.017612883458646644,,,0.4534005037783375,0.022858996221662486,1
2026-03-18,Adam Walton,Jakub Mensik,Hard,0.21075714,0.25961538461538464,-0.04885824461538463,,,0.2618110236220473,-0.05105388362204727,0
2026-03-18,Adam Walton,Sebastian Baez,Hard,0.3798177,0.4201474201474202,-0.0403297201474202,,,0.4332493702770781,-0.053431670277078125,1
2026-03-18,Adrian Mannarino,Tommy Paul,Hard,0.28036758,0.21008403361344535,0.07028354638655465,,,0.21465968586387432,0.06570789413612568,0
2026-03-18,Alejandro Tabilo,Francisco Comesana,Hard,0.6098839,0.6681514476614699,-0.05826754766146991,,,0.6666666666666667,-0.056782766666666706,1
2026-03-18,Aleksandar Kovacevic,Rei Sakamoto,Hard,0.6471816,0.6057692307692307,0.0414123692307693,,,0.6123456790123457,0.03483592098765431,0
2026-03-18,Aleksandar Vukic,Rafael Jodar,Hard,0.5053742,0.23214285714285715,0.27323134285714284,,,0.23076923076923078,0.2746049692307692,0
2026-03-18,Alexander Bublik,Matteo Berrettini,Hard,0.6576742,0.6175771971496438,0.04009700285035622,,,0.5970149253731344,0.0606592746268656,0
2026-03-18,Alexander Shevchenko,Ben Shelton,Hard,0.1814614,0.12376779846659364,0.05769360153340636,,,0.1492146596858639,0.0322467403141361,1
2026-03-18,Alexander Shevchenko,Matteo Arnaldi,Hard,0.48388332,0.5486284289276808,-0.06474510892768082,,,0.5478036175710594,-0.06392029757105944,1
2026-03-18,Alexandre Muller,Matteo Berrettini,Hard,0.38952813,0.2114093959731544,0.17811873402684558,,,0.21465968586387432,0.17486844413612565,0
2026-03-18,Andrey Rublev,Alejandro Tabilo,Hard,0.592161,0.6896551724137931,-0.0974941724137931,,,0.6787330316742082,-0.08657203167420813,0
2026-03-18,Arthur Rinderknech,Terence Atmane,Hard,0.6868422,0.5853658536585367,0.1014763463414633,,,0.5793450881612091,0.10749711183879085,0
2026-03-18,Botic Van De Zandschulp,Denis Shapovalov,Hard,0.4086326,0.3564814814814815,0.0521511185185185,,,0.36778846153846156,0.04084413846153845,1
2026-03-18,Botic Van De Zandschulp,Taylor Fritz,Hard,0.22142923,0.24214417744916825,-0.02071494744916824,,,0.24528301886792456,-0.023853788867924552,0
2026-03-18,Cameron Norrie,Alex Michelsen,Hard,0.5248099,0.3990384615384615,0.12577143846153854,,,0.41959798994974873,0.10521191005025132,0
