candidate,wf_period,shrinkage_factor,edge_threshold,bet_count,hit_rate,avg_odds,mean_prob,mean_market_prob,mean_edge,roi,calibration_error,log_loss
near_dog_logit_no_recent_form,tune,0.75,0.01,72,0.416667,2.392196,0.505294,0.397118,0.108177,-0.015093,0.088628,0.683244
near_dog_logit_no_recent_form,tune,0.75,0.02,68,0.411765,2.377381,0.513007,0.39938,0.113626,-0.035484,0.101242,0.681388
near_dog_logit_no_recent_form,tune,0.75,0.03,63,0.396825,2.379819,0.519722,0.399018,0.120705,-0.074014,0.122897,0.674295
near_dog_logit_no_recent_form,tune,0.75,0.05,54,0.462963,2.381494,0.532934,0.398757,0.134178,0.080317,0.069971,0.689715
near_dog_logit_no_recent_form,tune,0.75,0.07,47,0.489362,2.368311,0.545558,0.400478,0.14508,0.137386,0.056196,0.69389
near_dog_logit_no_recent_form,tune,0.75,0.1,35,0.485714,2.335313,0.570065,0.404773,0.165292,0.12014,0.084351,0.702722
near_dog_logit_no_recent_form,tune,1.0,0.0,80,0.425,2.400515,0.526398,0.395821,0.130578,0.011074,0.101398,0.703477
near_dog_logit_no_recent_form,tune,1.0,0.01,75,0.413333,2.396641,0.535114,0.396168,0.138946,-0.021156,0.121781,0.698675
near_dog_logit_no_recent_form,tune,1.0,0.02,70,0.414286,2.385473,0.546184,0.398339,0.147845,-0.024524,0.131898,0.700471
near_dog_logit_no_recent_form,tune,1.0,0.03,67,0.41791,2.379531,0.552022,0.398658,0.153363,-0.021088,0.134111,0.701407
near_dog_logit_no_recent_form,tune,1.0,0.05,60,0.416667,2.382392,0.565403,0.398558,0.166844,-0.027715,0.148736,0.700352
near_dog_logit_no_recent_form,tune,1.0,0.07,54,0.462963,2.381494,0.57766,0.398757,0.178904,0.080317,0.114697,0.710511
near_dog_logit_no_recent_form,tune,1.0,0.1,46,0.5,2.360013,0.597408,0.40185,0.195557,0.162111,0.097408,0.718798
near_dog_logit_no_h2h,tune,0.25,0.0,94,0.43617,2.407355,0.426259,0.395565,0.030695,0.038517,0.009911,0.678968
near_dog_logit_no_h2h,tune,0.25,0.01,71,0.478873,2.398614,0.435558,0.396582,0.038976,0.135993,0.043316,0.692374
near_dog_logit_no_h2h,tune,0.25,0.02,48,0.479167,2.382361,0.448691,0.397912,0.050779,0.123381,0.030476,0.687149
near_dog_logit_no_h2h,tune,0.25,0.03,39,0.512821,2.370345,0.456222,0.399389,0.056833,0.197946,0.056598,0.697699
near_dog_logit_no_h2h,tune,0.25,0.05,25,0.52,2.331576,0.470979,0.404942,0.066037,0.193596,0.049021,0.691968
near_dog_logit_no_h2h,tune,0.25,0.07,7,0.571429,2.327143,0.484346,0.400939,0.083407,0.297143,0.087083,0.690377
near_dog_logit_no_h2h,tune,0.25,0.1,1,0.0,2.38,0.508735,0.391304,0.117431,-1.0,0.508735,0.710771
near_dog_logit_no_h2h,tune,0.5,0.0,94,0.43617,2.407355,0.456954,0.395565,0.061389,0.038517,0.020783,0.678704
near_dog_logit_no_h2h,tune,0.5,0.01,82,0.463415,2.395371,0.466721,0.397173,0.069548,0.097445,0.003307,0.687685
near_dog_logit_no_h2h,tune,0.5,0.02,71,0.478873,2.398614,0.474533,0.396582,0.077951,0.135993,0.00434,0.691465
near_dog_logit_no_h2h,tune,0.5,0.03,58,0.431034,2.381178,0.488749,0.398593,0.090156,0.011591,0.057715,0.676947
near_dog_logit_no_h2h,tune,0.5,0.05,42,0.52381,2.379189,0.507873,0.398289,0.109583,0.225474,0.015937,0.696305
near_dog_logit_no_h2h,tune,0.5,0.07,34,0.558824,2.351485,0.522064,0.401375,0.12069,0.296762,0.036759,0.698018
near_dog_logit_no_h2h,tune,0.5,0.1,25,0.52,2.331576,0.537016,0.404942,0.132074,0.193596,0.017016,0.692996
near_dog_logit_no_h2h,tune,0.75,0.0,94,0.43617,2.407355,0.487648,0.395565,0.092084,0.038517,0.051478,0.685257
near_dog_logit_no_h2h,tune,0.75,0.01,87,0.436782,2.402051,0.495349,0.396309,0.09904,0.034374,0.058568,0.683786
near_dog_logit_no_h2h,tune,0.75,0.02,80,0.475,2.399213,0.502837,0.396368,0.106469,0.124881,0.027837,0.697378
near_dog_logit_no_h2h,tune,0.75,0.03,71,0.478873,2.398614,0.513509,0.396582,0.116927,0.135993,0.034636,0.699539
near_dog_logit_no_h2h,tune,0.75,0.05,55,0.436364,2.382064,0.538233,0.39829,0.139943,0.021314,0.10187,0.688847
near_dog_logit_no_h2h,tune,0.75,0.07,45,0.488889,2.38891,0.554772,0.396545,0.158227,0.143776,0.065883,0.698244
near_dog_logit_no_h2h,tune,0.75,0.1,36,0.527778,2.355443,0.578201,0.401442,0.176758,0.224719,0.050423,0.706846
near_dog_logit_no_h2h,tune,1.0,0.0,94,0.43617,2.407355,0.518343,0.395565,0.122778,0.038517,0.082172,0.700409
near_dog_logit_no_h2h,tune,1.0,0.01,88,0.431818,2.4018,0.526933,0.396252,0.130681,0.022619,0.095115,0.698131
near_dog_logit_no_h2h,tune,1.0,0.02,82,0.463415,2.395371,0.536269,0.397173,0.139096,0.097445,0.072855,0.711899
near_dog_logit_no_h2h,tune,1.0,0.03,77,0.467532,2.401001,0.542371,0.395982,0.146389,0.109292,0.074838,0.713505
near_dog_logit_no_h2h,tune,1.0,0.05,62,0.451613,2.384787,0.570817,0.398664,0.172153,0.06114,0.119204,0.714998
near_dog_logit_no_h2h,tune,1.0,0.07,54,0.444444,2.38261,0.586552,0.397794,0.188758,0.040227,0.142107,0.716973
near_dog_logit_no_h2h,tune,1.0,0.1,42,0.52381,2.379189,0.617456,0.398289,0.219167,0.225474,0.093647,0.734115
